,text_latinamerica,text_spain,encoded_latinamerica_spain,encoded_latinamerica,text_prediction
384,"Para aquellos que pueden sobreponerse a sus desafíos, los desiertos proporcionan un refugio vital.","Y para quienes superan los retos que estos plantean, son un refugio importantísimo.","<s>Para aquellos que pueden sobreponerse a sus desafíos, los desiertos proporcionan un refugio vital.</s>>>>><p>Y para quienes superan los retos que estos plantean, son un refugio importantísimo.</p>","<s>Para aquellos que pueden sobreponerse a sus desafíos, los desiertos proporcionan un refugio vital.</s>>>>><p>","Los que pueden sobreponerse a sus retos, los desiertos proporcionan un refugio vital."
385,"Solo sígueme la corriente, eres actor. O solías serlo, ya no sé a qué te dedicas.","Tío, sígueles el juego. Eres actor. O lo eras. Ahora no sé lo que haces.","<s>Solo sígueme la corriente, eres actor. O solías serlo, ya no sé a qué te dedicas.</s>>>>><p>Tío, sígueles el juego. Eres actor. O lo eras. Ahora no sé lo que haces.</p>","<s>Solo sígueme la corriente, eres actor. O solías serlo, ya no sé a qué te dedicas.</s>>>>><p>","Date la corriente, eres actor. O solías serlo, ya no sé a qué te dedicas."
386,Haré lo mismo. Es un buen plan.,Haré lo mismo. Es un buen plan.,<s>Haré lo mismo. Es un buen plan.</s>>>>><p>Haré lo mismo. Es un buen plan.</p>,<s>Haré lo mismo. Es un buen plan.</s>>>>><p>,Haré lo mismo. Es un buen plan.
387,Me nombrará a mí.,Me va a nombrar a mí.,<s>Me nombrará a mí.</s>>>>><p>Me va a nombrar a mí.</p>,<s>Me nombrará a mí.</s>>>>><p>,¿Me nombrará a mí?
388,No me miras.,No me miras.,<s>No me miras.</s>>>>><p>No me miras.</p>,<s>No me miras.</s>>>>><p>,No me miras.
389,Lavaré una carga de todas formas. Gracias.,Ya iba a poner la lavadora. Gracias.,<s>Lavaré una carga de todas formas. Gracias.</s>>>>><p>Ya iba a poner la lavadora. Gracias.</p>,<s>Lavaré una carga de todas formas. Gracias.</s>>>>><p>,Lavaré una carga de todas formas. Gracias.
390,"Hablémoslo. Vamos, cariño.","Vamos a hablar de esto, Marianne.","<s>Hablémoslo. Vamos, cariño.</s>>>>><p>Vamos a hablar de esto, Marianne.</p>","<s>Hablémoslo. Vamos, cariño.</s>>>>><p>","¿Podemos hablar? Vamos, cielo."
391,¿En serio tengo que usar esto?,¿Tengo que ir así?,<s>¿En serio tengo que usar esto?</s>>>>><p>¿Tengo que ir así?</p>,<s>¿En serio tengo que usar esto?</s>>>>><p>,¿En serio tengo que usar esto?
392,ARRIBOS INTERNACIONALES,LLEGADAS INTERNACIONALES,<s>ARRIBOS INTERNACIONALES</s>>>>><p>LLEGADAS INTERNACIONALES</p>,<s>ARRIBOS INTERNACIONALES</s>>>>><p>,ARRIBOS INTERNACIONALES
393,"¿Nos da un minuto, por favor? Uno coma cinco mililitros.","¿Te puedes esperar un momento? 1,5 mililitros.","<s>¿Nos da un minuto, por favor? Uno coma cinco mililitros.</s>>>>><p>¿Te puedes esperar un momento? 1,5 mililitros.</p>","<s>¿Nos da un minuto, por favor? Uno coma cinco mililitros.</s>>>>><p>","¿Nos da un minuto, por favor? Uno coma cinco mililitros."
394,"Es la fuente de toda ciencia y arte verdaderos"". ¿Y qué fue lo que dijo James Brown?","Es la fuente de todo ciencia y arte verdaderos"". ¿Y qué es eso que decía James Brown?","<s>Es la fuente de toda ciencia y arte verdaderos"". ¿Y qué fue lo que dijo James Brown?</s>>>>><p>Es la fuente de todo ciencia y arte verdaderos"". ¿Y qué es eso que decía James Brown?</p>","<s>Es la fuente de toda ciencia y arte verdaderos"". ¿Y qué fue lo que dijo James Brown?</s>>>>><p>",'La fuente de toda ciencia y arte verdaderos'. ¿Y qué ha dicho James Brown?
395,Siguió adelante con nuestro amigo sexy. Aunque creo que estuvo enamorado de mí.,Está con un amigo macizorro nuestro. Aunque creo que yo le gusto desde hace años.,<s>Siguió adelante con nuestro amigo sexy. Aunque creo que estuvo enamorado de mí.</s>>>>><p>Está con un amigo macizorro nuestro. Aunque creo que yo le gusto desde hace años.</p>,<s>Siguió adelante con nuestro amigo sexy. Aunque creo que estuvo enamorado de mí.</s>>>>><p>,Con el tío que me ha echado de menos. Aunque creo que ha estado enamorado de mí.
396,Yo sí. Los entrenadores se reúnen después de la graduación y debes venir sobrio.,Yo sí. Las reuniones de verano empiezan después de la graduación.,<s>Yo sí. Los entrenadores se reúnen después de la graduación y debes venir sobrio.</s>>>>><p>Yo sí. Las reuniones de verano empiezan después de la graduación.</p>,<s>Yo sí. Los entrenadores se reúnen después de la graduación y debes venir sobrio.</s>>>>><p>,Yo sí. Los entrenadores se reúnen después de la graduación y tienes que venir sobrio.
397,¡Ayúdame! No puedo...,¡Ayúdame! ¡No puedo...!,<s>¡Ayúdame! No puedo...</s>>>>><p>¡Ayúdame! ¡No puedo...!</p>,<s>¡Ayúdame! No puedo...</s>>>>><p>,¡Ayúdame! No puedo...
398,"Si quieres portarte como un idiota, hazlo. Pero ¿por qué desalentar a estos hombres y quitarles la esperanza?","Ponte en ridículo si quieres, pero, desalentar a estos hombres,","<s>Si quieres portarte como un idiota, hazlo. Pero ¿por qué desalentar a estos hombres y quitarles la esperanza?</s>>>>><p>Ponte en ridículo si quieres, pero, desalentar a estos hombres,</p>","<s>Si quieres portarte como un idiota, hazlo. Pero ¿por qué desalentar a estos hombres y quitarles la esperanza?</s>>>>><p>","...si quieres que te follen como un gilipollas, hazlo. Pero ¿por qué desalentar a estos hombres y quitarles la esperanza?"
399,Supongo que pueden guardarlos en armarios. Pero la Dra. Orwell es optometrista. Los esqueletos no tienen ojos.,Supongo que los guardarán en armarios. Pero la doctora Orwell es oftalmóloga. Los esqueletos no tienen ojos.,<s>Supongo que pueden guardarlos en armarios. Pero la Dra. Orwell es optometrista. Los esqueletos no tienen ojos.</s>>>>><p>Supongo que los guardarán en armarios. Pero la doctora Orwell es oftalmóloga. Los esqueletos no tienen ojos.</p>,<s>Supongo que pueden guardarlos en armarios. Pero la Dra. Orwell es optometrista. Los esqueletos no tienen ojos.</s>>>>><p>,Dijiste que guardarlos en armarios. Pero la Dra. Orwell es optometrista. Los esqueletos no tienen ojos.
400,¿Embarazada y trabajando? Deben consentirte un poco.,¿Embarazada y siempre de pie? Te mereces mimarte.,<s>¿Embarazada y trabajando? Deben consentirte un poco.</s>>>>><p>¿Embarazada y siempre de pie? Te mereces mimarte.</p>,<s>¿Embarazada y trabajando? Deben consentirte un poco.</s>>>>><p>,¿Embarazada y trabajando? Debéis permitirte un poco.
401,"Conozco la jerga. Los ensayos van bien. Empezamos a armar la obra, pero aún es pronto.","Me conozco la jerga. El ensayo fue bien. Solo hemos dado los primeros pasos, pero aún es pronto.","<s>Conozco la jerga. Los ensayos van bien. Empezamos a armar la obra, pero aún es pronto.</s>>>>><p>Me conozco la jerga. El ensayo fue bien. Solo hemos dado los primeros pasos, pero aún es pronto.</p>","<s>Conozco la jerga. Los ensayos van bien. Empezamos a armar la obra, pero aún es pronto.</s>>>>><p>","Los ensayos van bien. Los ensayos van bien. Empezamos a hacer la obra, pero aún es pronto."
402,En la actuación.,Como actriz.,<s>En la actuación.</s>>>>><p>Como actriz.</p>,<s>En la actuación.</s>>>>><p>,En la actuación.
403,¿Me estás jodiendo?,¿Es coña?,<s>¿Me estás jodiendo?</s>>>>><p>¿Es coña?</p>,<s>¿Me estás jodiendo?</s>>>>><p>,¿Me estás jodiendo?
404,"Ella era su novia de la escuela, pero ahora cree que es malo. Él todavía la ama. Siempre intenta recuperarla.",Eran novios en el instituto y ahora ella cree que es malvado. Él sigue enamorado y cada vez intenta recuperarla.,"<s>Ella era su novia de la escuela, pero ahora cree que es malo. Él todavía la ama. Siempre intenta recuperarla.</s>>>>><p>Eran novios en el instituto y ahora ella cree que es malvado. Él sigue enamorado y cada vez intenta recuperarla.</p>","<s>Ella era su novia de la escuela, pero ahora cree que es malo. Él todavía la ama. Siempre intenta recuperarla.</s>>>>><p>","Dijiste que era su novia de la escuela, pero ahora cree que es malo. Ella sigue intentando recuperarla."
405,y Jacques estaba a salvo en su celda anoche.,y Jacques estaba bien anoche en su celda.,<s>y Jacques estaba a salvo en su celda anoche.</s>>>>><p>y Jacques estaba bien anoche en su celda.</p>,<s>y Jacques estaba a salvo en su celda anoche.</s>>>>><p>,y Jacques estaba a salvo en su celda anoche.
406,Mierda. Perdí mis llaves. Mierda.,Joder. La llave de mi apartamento.,<s>Mierda. Perdí mis llaves. Mierda.</s>>>>><p>Joder. La llave de mi apartamento.</p>,<s>Mierda. Perdí mis llaves. Mierda.</s>>>>><p>,¡Mierda! He perdido mis llaves. Joder.
407,"Esta es la palma aceitera, uno de los cultivos más productivos del planeta.","Esto es palma aceitera, uno de los cultivos más productivos del mundo.","<s>Esta es la palma aceitera, uno de los cultivos más productivos del planeta.</s>>>>><p>Esto es palma aceitera, uno de los cultivos más productivos del mundo.</p>","<s>Esta es la palma aceitera, uno de los cultivos más productivos del planeta.</s>>>>><p>","La palma aceitera es la palma de la aceitera, uno de los cultivos más productivos del planeta."
408,Gané mucho dinero. Era un gordo que inhalaba coca como una estrella de rock.,"Gané mucho dinero. Era un gordo de mierda, que esnifaba coca cual rockero.","<s>Gané mucho dinero. Era un gordo que inhalaba coca como una estrella de rock.</s>>>>><p>Gané mucho dinero. Era un gordo de mierda, que esnifaba coca cual rockero.</p>",<s>Gané mucho dinero. Era un gordo que inhalaba coca como una estrella de rock.</s>>>>><p>,Gané mucho dinero. Era un gordo que inhalaba coca como una estrella de rock.
409,Jackson debe empezar.,Jackson debe ser titular.,<s>Jackson debe empezar.</s>>>>><p>Jackson debe ser titular.</p>,<s>Jackson debe empezar.</s>>>>><p>,Jackson debe empezar.
410,Aquí su firma. Aquí sus iniciales.,"Firme aquí, y sus iniciales aquí. A nosotros nos da igual, ¿sabe?","<s>Aquí su firma. Aquí sus iniciales.</s>>>>><p>Firme aquí, y sus iniciales aquí. A nosotros nos da igual, ¿sabe?</p>",<s>Aquí su firma. Aquí sus iniciales.</s>>>>><p>,...su firma. Aquí sus iniciales.
411,"Buenas noches. Yo soy Roger Strong. Carl Hanratty, FBI. Los agentes Amdursky y Fox.","Buenas noches. Soy Roger Strong. Carl Hanratty, del FBI. Agentes Amdursky y Fox.","<s>Buenas noches. Yo soy Roger Strong. Carl Hanratty, FBI. Los agentes Amdursky y Fox.</s>>>>><p>Buenas noches. Soy Roger Strong. Carl Hanratty, del FBI. Agentes Amdursky y Fox.</p>","<s>Buenas noches. Yo soy Roger Strong. Carl Hanratty, FBI. Los agentes Amdursky y Fox.</s>>>>><p>","EL VIAJERO DE LA VERDAD. Soy Roger Strong. Carl Hanratty, FBI. Los agentes Amdursky y Fox."
412,¿Ya mencioné que estoy completa y putamente horrorizada?,¿He dicho ya que estoy absolutamente horrorizada?,<s>¿Ya mencioné que estoy completa y putamente horrorizada?</s>>>>><p>¿He dicho ya que estoy absolutamente horrorizada?</p>,<s>¿Ya mencioné que estoy completa y putamente horrorizada?</s>>>>><p>,¿He dicho que estoy totalmente histérica?
413,Todos nosotros.,Todos nosotros.,<s>Todos nosotros.</s>>>>><p>Todos nosotros.</p>,<s>Todos nosotros.</s>>>>><p>,...todos nosotros.
414,¡Aquí está! El ciclo del agua. Perdón. ¿Qué decías?,"Aquí, El ciclo del agua. ¿Qué decías?","<s>¡Aquí está! El ciclo del agua. Perdón. ¿Qué decías?</s>>>>><p>Aquí, El ciclo del agua. ¿Qué decías?</p>",<s>¡Aquí está! El ciclo del agua. Perdón. ¿Qué decías?</s>>>>><p>,-Aquí está. -¡Aquí está! -Perdona. ¿Qué decías?
415,No se puede arreglar. Todos estamos desesperados por algo mejor.,No tiene solución. Todos estamos desesperadospor algo mejor.,<s>No se puede arreglar. Todos estamos desesperados por algo mejor.</s>>>>><p>No tiene solución. Todos estamos desesperadospor algo mejor.</p>,<s>No se puede arreglar. Todos estamos desesperados por algo mejor.</s>>>>><p>,No puedes arreglarlo. Todos estamos desesperados por algo mejor.
416,Curso Harvard de Cantineros. Estás a un paso de cerrar a Galletas Snookies.,"el Curso de Barman de Harvard... Y ahora ficharás a Galletitas Pitas, lo presiento.","<s>Curso Harvard de Cantineros. Estás a un paso de cerrar a Galletas Snookies.</s>>>>><p>el Curso de Barman de Harvard... Y ahora ficharás a Galletitas Pitas, lo presiento.</p>",<s>Curso Harvard de Cantineros. Estás a un paso de cerrar a Galletas Snookies.</s>>>>><p>,"En Harvard, Harvard de Cantineros. Estás a punto de cerrar a Galletas Snookies."
417,"cuando, en realidad, lo de ""me importa un carajo"" es una cara para que no se te note que en verdad te importa.",pero esta actitud pasota es una fachada para que nadie vea que no paso.,"<s>cuando, en realidad, lo de ""me importa un carajo"" es una cara para que no se te note que en verdad te importa.</s>>>>><p>pero esta actitud pasota es una fachada para que nadie vea que no paso.</p>","<s>cuando, en realidad, lo de ""me importa un carajo"" es una cara para que no se te note que en verdad te importa.</s>>>>><p>","cuando, en realidad, lo de me importa un carajo"" es una cara para que no se te note que en verdad te importa."""
418,Es pegajosa. Sí. Genial.,Es muy pegadizo. Sí. Guay.,<s>Es pegajosa. Sí. Genial.</s>>>>><p>Es muy pegadizo. Sí. Guay.</p>,<s>Es pegajosa. Sí. Genial.</s>>>>><p>,Pruébalo. Sí. Genial.
419,¡Qué tipo de mierda! ¿No estás molesto? No. ¿Estás bromeando? Estoy agradecido.,Que lo follen. ¿No estás cabreado? No estoy cabreado. ¿En serio? Estoy agradecido.,<s>¡Qué tipo de mierda! ¿No estás molesto? No. ¿Estás bromeando? Estoy agradecido.</s>>>>><p>Que lo follen. ¿No estás cabreado? No estoy cabreado. ¿En serio? Estoy agradecido.</p>,<s>¡Qué tipo de mierda! ¿No estás molesto? No. ¿Estás bromeando? Estoy agradecido.</s>>>>><p>,basta. ¿No estás enfadado? No. ¿Estás de coña? No. ¿Estás de coña? Estoy agradecido.
420,"seguramente lo sea. Básicamente, votas con tus clics. Si cliqueas el cebo,","lo será. Básicamente, votas con tus clics. Si picas en el cebo,","<s>seguramente lo sea. Básicamente, votas con tus clics. Si cliqueas el cebo,</s>>>>><p>lo será. Básicamente, votas con tus clics. Si picas en el cebo,</p>","<s>seguramente lo sea. Básicamente, votas con tus clics. Si cliqueas el cebo,</s>>>>><p>","es lo que pasa. Básicamente, votas con clics. Si cliqueas el cebo,"
421,"Aquí vamos. Vale la pena, chicos. Lo digo en serio.","Allá vamos. Va a valer la pena, ya veréis.","<s>Aquí vamos. Vale la pena, chicos. Lo digo en serio.</s>>>>><p>Allá vamos. Va a valer la pena, ya veréis.</p>","<s>Aquí vamos. Vale la pena, chicos. Lo digo en serio.</s>>>>><p>","Dale la razón. Vale la pena, chicos. Lo digo en serio."
422,El asunto conmigo es que soy empática.,Lo que me pasa es que tengo demasiada empatía.,<s>El asunto conmigo es que soy empática.</s>>>>><p>Lo que me pasa es que tengo demasiada empatía.</p>,<s>El asunto conmigo es que soy empática.</s>>>>><p>,Es que......me gusta.
423,"¡Cómprate algo lindo, nena! ¡Despiértate, estúpida!","¡Cómprate algo bonito, nena! ¡Sí, despierta, idiota!","<s>¡Cómprate algo lindo, nena! ¡Despiértate, estúpida!</s>>>>><p>¡Cómprate algo bonito, nena! ¡Sí, despierta, idiota!</p>","<s>¡Cómprate algo lindo, nena! ¡Despiértate, estúpida!</s>>>>><p>","básicamente, nena. ¡Despiértate, zorra!"
424,¿Ya están bebiendo? ¡Sí!,¿Pero ya estáis bebiendo? ¡Pues claro!,<s>¿Ya están bebiendo? ¡Sí!</s>>>>><p>¿Pero ya estáis bebiendo? ¡Pues claro!</p>,<s>¿Ya están bebiendo? ¡Sí!</s>>>>><p>,¿Estáis bebiendo? ¡Sí!
425,...seas maleducado. Estoy aquí y llegaste superactivada.,...que seas borde. Yo estaba tan tranquilo y has llegado alteradísima.,<s>...seas maleducado. Estoy aquí y llegaste superactivada.</s>>>>><p>...que seas borde. Yo estaba tan tranquilo y has llegado alteradísima.</p>,<s>...seas maleducado. Estoy aquí y llegaste superactivada.</s>>>>><p>,...seas maleducado. Estoy aquí y llegaste superactivada.
426,¿Investigaste mi pasado?,¿Por qué fisgoneas mi pasado?,<s>¿Investigaste mi pasado?</s>>>>><p>¿Por qué fisgoneas mi pasado?</p>,<s>¿Investigaste mi pasado?</s>>>>><p>,¿Has visto mi pasado?
427,"Mañana, juega usted... contra el gran maestro Borgov.","Mañana, es usted... contra el gran maestro Borgov.","<s>Mañana, juega usted... contra el gran maestro Borgov.</s>>>>><p>Mañana, es usted... contra el gran maestro Borgov.</p>","<s>Mañana, juega usted... contra el gran maestro Borgov.</s>>>>><p>",...se juega... contra el gran maestro Borgov.
428,"Amy, ¿estás bien? Mira, sé que mi mamá puede ser dura.","Amy, ¿estás bien? Sé que mi madre da mucha guerra.","<s>Amy, ¿estás bien? Mira, sé que mi mamá puede ser dura.</s>>>>><p>Amy, ¿estás bien? Sé que mi madre da mucha guerra.</p>","<s>Amy, ¿estás bien? Mira, sé que mi mamá puede ser dura.</s>>>>><p>","¿Estás bien? Amy, sé que mi madre puede ser dura."
429,"Tú... Sí, bueno.","Tú... Sí, vale.","<s>Tú... Sí, bueno.</s>>>>><p>Tú... Sí, vale.</p>","<s>Tú... Sí, bueno.</s>>>>><p>","...tú... Sí, bueno."
430,o como se diga para indicar que son muchos.,o como se diga cuando hay muchos de ellos.,<s>o como se diga para indicar que son muchos.</s>>>>><p>o como se diga cuando hay muchos de ellos.</p>,<s>o como se diga para indicar que son muchos.</s>>>>><p>,o como se diga para indicar que son muchos.
431,Bud dijo que cada bocado es como el atarceder en la boca.,Bud dijo que cada bocado es como un atardecer en la boca.,<s>Bud dijo que cada bocado es como el atarceder en la boca.</s>>>>><p>Bud dijo que cada bocado es como un atardecer en la boca.</p>,<s>Bud dijo que cada bocado es como el atarceder en la boca.</s>>>>><p>,Bud dijo que cada bocado es como el atardeder en la boca.
432,¿Y qué te importa? Creí que me habías dejado.,¿Y qué más te da? Creía que habías roto conmigo.,<s>¿Y qué te importa? Creí que me habías dejado.</s>>>>><p>¿Y qué más te da? Creía que habías roto conmigo.</p>,<s>¿Y qué te importa? Creí que me habías dejado.</s>>>>><p>,¿Y qué te importa? Creía que me habías dejado.
433,Lo tengo. ¡Mamá! Así que estarán a salvo hasta después de la cena,Dame. ¡Mamá! Aquí estarán a salvo hasta después de la cena...,<s>Lo tengo. ¡Mamá! Así que estarán a salvo hasta después de la cena</s>>>>><p>Dame. ¡Mamá! Aquí estarán a salvo hasta después de la cena...</p>,<s>Lo tengo. ¡Mamá! Así que estarán a salvo hasta después de la cena</s>>>>><p>,¡Mamá! Así que estarán a salvo hasta después de la cena
434,¿A quién? A nuestra gente.,¿A quién? A los nuestros.,<s>¿A quién? A nuestra gente.</s>>>>><p>¿A quién? A los nuestros.</p>,<s>¿A quién? A nuestra gente.</s>>>>><p>,¿A quién? A nuestra gente.
435,No. Esta industria tiene mucho más poder. La industria de dispositivos médicos ha crecido más rápido que cualquiera.,La industria de dispositivos tiene mucho más poder. Esta industria se ha estado expandiendo más rápido que ninguna otra.,<s>No. Esta industria tiene mucho más poder. La industria de dispositivos médicos ha crecido más rápido que cualquiera.</s>>>>><p>La industria de dispositivos tiene mucho más poder. Esta industria se ha estado expandiendo más rápido que ninguna otra.</p>,<s>No. Esta industria tiene mucho más poder. La industria de dispositivos médicos ha crecido más rápido que cualquiera.</s>>>>><p>,"Digo, no. Esta industria de dispositivos médicos ha crecido más rápido que cualquiera."
436,Debemos detenerlo. ¿Cómo? Yo estoy lisiado y a ti te castigarán de por vida si hablas con él.,Tenemos que pararle los pies. ¿Cómo? Yo estoy tullido y a ti te castigarían de por vida solo por hablar con él.,<s>Debemos detenerlo. ¿Cómo? Yo estoy lisiado y a ti te castigarán de por vida si hablas con él.</s>>>>><p>Tenemos que pararle los pies. ¿Cómo? Yo estoy tullido y a ti te castigarían de por vida solo por hablar con él.</p>,<s>Debemos detenerlo. ¿Cómo? Yo estoy lisiado y a ti te castigarán de por vida si hablas con él.</s>>>>><p>,Dale. ¿Cómo? Yo estoy lisiado y tú te castigarán de por vida si hablas con él.
437,Bueno... yo solo te seguía. Eres asombrosa.,Pues... yo solo te seguía a ti. Eres increíble.,<s>Bueno... yo solo te seguía. Eres asombrosa.</s>>>>><p>Pues... yo solo te seguía a ti. Eres increíble.</p>,<s>Bueno... yo solo te seguía. Eres asombrosa.</s>>>>><p>,...yo solo te seguía. Eres increíble.
438,y no un apartamento frío. ¿Cómo conoces a Will? Amigos. Es complicado.,"¿De qué lo conoces? Somos amigos. Pero bueno, es complicado.","<s>y no un apartamento frío. ¿Cómo conoces a Will? Amigos. Es complicado.</s>>>>><p>¿De qué lo conoces? Somos amigos. Pero bueno, es complicado.</p>",<s>y no un apartamento frío. ¿Cómo conoces a Will? Amigos. Es complicado.</s>>>>><p>,...y no un apartamento frío. ¿Cómo conoces a Will? Amigos. Es complicado.
439,Prueba otra vez. Lo hice dos veces. Una vez más. Ya lo presioné. El código no funciona.,Prueba otra vez. Ya van dos veces. Prueba una vez más. Estoy reseteando...,<s>Prueba otra vez. Lo hice dos veces. Una vez más. Ya lo presioné. El código no funciona.</s>>>>><p>Prueba otra vez. Ya van dos veces. Prueba una vez más. Estoy reseteando...</p>,<s>Prueba otra vez. Lo hice dos veces. Una vez más. Ya lo presioné. El código no funciona.</s>>>>><p>,Prueba otra vez. Lo he hecho dos veces. Una vez más. Lo he presionado. No funciona.
440,"No iba a decir eso. Es solo que... Ryan siempre solía decir: ""Este es Tony, mi novio"".","No iba a decir eso. Es que... Ryan siempre decía: ""Este es Tony, mi novio"".","<s>No iba a decir eso. Es solo que... Ryan siempre solía decir: ""Este es Tony, mi novio"".</s>>>>><p>No iba a decir eso. Es que... Ryan siempre decía: ""Este es Tony, mi novio"".</p>","<s>No iba a decir eso. Es solo que... Ryan siempre solía decir: ""Este es Tony, mi novio"".</s>>>>><p>","No iba a decir eso. Es que... Ryan siempre decía: 'Este es Tony, mi novio'."
441,Tengo que ganarme a este tipo.,en la jerarquía social. Tengo que camelármelo.,<s>Tengo que ganarme a este tipo.</s>>>>><p>en la jerarquía social. Tengo que camelármelo.</p>,<s>Tengo que ganarme a este tipo.</s>>>>><p>,Tengo que ganarme a este tío.
442,"Anne, usted aplasta mi alma.","Anne, me partes el corazón.","<s>Anne, usted aplasta mi alma.</s>>>>><p>Anne, me partes el corazón.</p>","<s>Anne, usted aplasta mi alma.</s>>>>><p>","Anne, tú aplastas mi alma."
443,"No sé si la tiene Will o si hay otra. No lo sé. Le prometí que no diría nada de lo que hizo,","No sé si la tiene él o si hay una copia. Le prometí que no diría nada,","<s>No sé si la tiene Will o si hay otra. No lo sé. Le prometí que no diría nada de lo que hizo,</s>>>>><p>No sé si la tiene él o si hay una copia. Le prometí que no diría nada,</p>","<s>No sé si la tiene Will o si hay otra. No lo sé. Le prometí que no diría nada de lo que hizo,</s>>>>><p>","No sé si Will o si hay otra. No lo sé. Le prometí que no diría nada de lo que hizo,"
444,¿Qué más da? La mesa está lista. Qué bien. Ya llegaron todos. Fantástico.,¿Qué le voy a hacer? La mesa está lista. ¡Bien! ¡Que empiece la fiesta! Fenomenal.,<s>¿Qué más da? La mesa está lista. Qué bien. Ya llegaron todos. Fantástico.</s>>>>><p>¿Qué le voy a hacer? La mesa está lista. ¡Bien! ¡Que empiece la fiesta! Fenomenal.</p>,<s>¿Qué más da? La mesa está lista. Qué bien. Ya llegaron todos. Fantástico.</s>>>>><p>,¿Qué más da? La mesa está lista. Qué bien. Ya habéis llegado todos. Genial.
445,¿Por cuánto tiempo tiene que seguir este castigo? ¿No he hecho el tiempo suficiente? ¿No he cumplido mi plazo?,¿Cuánto más durará esto? ¿Este castigo? ¿No he hecho ya suficiente? ¿Acaso no he cumplido con mi condena?,<s>¿Por cuánto tiempo tiene que seguir este castigo? ¿No he hecho el tiempo suficiente? ¿No he cumplido mi plazo?</s>>>>><p>¿Cuánto más durará esto? ¿Este castigo? ¿No he hecho ya suficiente? ¿Acaso no he cumplido con mi condena?</p>,<s>¿Por cuánto tiempo tiene que seguir este castigo? ¿No he hecho el tiempo suficiente? ¿No he cumplido mi plazo?</s>>>>><p>,Demasiados años. ¿No he hecho el tiempo suficiente? ¿No he hecho el tiempo suficiente?
446,"Es... No lo sé, es raro, pero...","Es... No sé, es raro. Pero yo...","<s>Es... No lo sé, es raro, pero...</s>>>>><p>Es... No sé, es raro. Pero yo...</p>","<s>Es... No lo sé, es raro, pero...</s>>>>><p>","...no sé, es... No lo sé, es raro, pero..."
447,"El hielo es el suelo en donde crece la vida vegetal,","El hielo es el suelo sobre el que crecen las plantas,","<s>El hielo es el suelo en donde crece la vida vegetal,</s>>>>><p>El hielo es el suelo sobre el que crecen las plantas,</p>","<s>El hielo es el suelo en donde crece la vida vegetal,</s>>>>><p>","El hielo es el suelo donde crece la vida animal,"
448,No eres más que un desgraciado Hasta que actúas en el Fan-Tan,No serás más que un arrastrado Hasta que no hayas actuado en el Fan-Tan,<s>No eres más que un desgraciado Hasta que actúas en el Fan-Tan</s>>>>><p>No serás más que un arrastrado Hasta que no hayas actuado en el Fan-Tan</p>,<s>No eres más que un desgraciado Hasta que actúas en el Fan-Tan</s>>>>><p>,No eres más que un puto idiota hasta que actúas en el Fan-Tan
449,"Y las pocas veces que lo hizo, Heinel lo resolvió con el departamento de admisiones.","Y en las pocas ocasiones en las que ocurrió, Heinel lo solucionó con el departamento de admisiones.","<s>Y las pocas veces que lo hizo, Heinel lo resolvió con el departamento de admisiones.</s>>>>><p>Y en las pocas ocasiones en las que ocurrió, Heinel lo solucionó con el departamento de admisiones.</p>","<s>Y las pocas veces que lo hizo, Heinel lo resolvió con el departamento de admisiones.</s>>>>><p>","Y las pocas veces que lo hizo Heinel, Heinel lo hizo con el departamento de admisiones."
450,"¿No hablamos más? ¿Qué le diremos a Camille? Nada, solo debemos ser amigables.","¿Nos dejamos de hablar? ¿Y Camille? No le diremos nada, nos llevaremos bien.","<s>¿No hablamos más? ¿Qué le diremos a Camille? Nada, solo debemos ser amigables.</s>>>>><p>¿Nos dejamos de hablar? ¿Y Camille? No le diremos nada, nos llevaremos bien.</p>","<s>¿No hablamos más? ¿Qué le diremos a Camille? Nada, solo debemos ser amigables.</s>>>>><p>","¿No hablamos más? ¿Qué le diremos a Camille? Nada, solo debemos ser amigables."
451,Tendrás que vivir sin la mesada hasta que regrese Allston.,Me temo que te quedarás sin paga hasta que vuelva Allston.,<s>Tendrás que vivir sin la mesada hasta que regrese Allston.</s>>>>><p>Me temo que te quedarás sin paga hasta que vuelva Allston.</p>,<s>Tendrás que vivir sin la mesada hasta que regrese Allston.</s>>>>><p>,y vivirás sin la mesada hasta que vuelva Allston.
452,Lo sé. Música de Misión: Imposible.,Lo sé. Música de Misión imposible.,<s>Lo sé. Música de Misión: Imposible.</s>>>>><p>Lo sé. Música de Misión imposible.</p>,<s>Lo sé. Música de Misión: Imposible.</s>>>>><p>,Lo sé. Música de Misión: Imposible.
453,INGESTIÓN ACCIDENTAL,SALA DE LOS QUE SE HAN TRAGADO ALGO POR ACCIDENTE,<s>INGESTIÓN ACCIDENTAL</s>>>>><p>SALA DE LOS QUE SE HAN TRAGADO ALGO POR ACCIDENTE</p>,<s>INGESTIÓN ACCIDENTAL</s>>>>><p>,EL ACCIDENTAL
